Car_Type,Duration_Days,Total_Distance_km,Num_Passengers,Package_Level,Start_Region,Season_Index,Car_Age_Years,Total_Cost
Mini Bus,8,1924,4,Basic,Suburban,3,8,2373.64
SUV,7,52,4,Basic,City,3,3,754.31
Van,7,1767,6,VIP,Airport,3,5,2654.3
SUV,3,255,4,Basic,Airport,2,7,670.17
Van,1,1905,8,Premium,Suburban,1,4,2155.72
Sedan,4,89,9,Basic,Suburban,1,5,637.85
Sedan,5,2156,1,Basic,City,2,3,2559.12
Sedan,1,2671,4,Premium,City,3,9,2716.03
Sedan,15,693,4,Basic,Suburban,3,9,1627.57
Sedan,5,1580,2,Basic,Suburban,3,7,2081.32
Sedan,13,1957,6,Basic,Airport,2,2,2921.77
SUV,8,2940,3,Basic,Airport,3,7,3407.1
Luxury,8,2716,7,Premium,Airport,3,7,3454.59
Van,5,2193,5,Basic,Suburban,2,5,2389.94
Sedan,9,947,4,Premium,Suburban,1,9,1465.99
SUV,1,1135,5,Basic,Suburban,2,3,1456.54
SUV,4,1329,8,Basic,Airport,2,4,1558.02
SUV,3,2658,3,Basic,Suburban,2,1,2896.84
Luxury,2,2445,7,Basic,City,2,6,2491.67
Van,8,720,6,Premium,Suburban,1,4,1651.26
Luxury,9,1555,1,Premium,Suburban,3,1,2511.03
Hatchback,2,2414,7,Premium,Suburban,2,2,3000.55
SUV,14,768,7,VIP,Suburban,1,3,2126.51
Hatchback,14,1121,1,Basic,Suburban,3,9,1935.23
Mini Bus,4,2005,9,Basic,City,3,8,2342.91
Sedan,6,1209,6,Premium,City,3,7,1832.73
Sedan,11,299,2,VIP,Suburban,2,4,1771.26
Luxury,3,2411,5,Basic,Airport,2,1,2846.76
Van,8,1942,4,Premium,Suburban,3,8,2459.86
Hatchback,3,1903,7,Basic,Suburban,3,4,2634.42
Van,14,2904,8,Basic,Suburban,3,3,3890
Luxury,13,1553,1,Premium,Airport,3,9,2466.24
Sedan,13,2582,5,Premium,Airport,3,4,3741.55
Van,2,1284,3,Basic,Airport,3,4,1416.05
Van,13,93,1,Basic,City,1,9,704.42
Sedan,19,2668,3,Premium,Airport,3,2,4283.98
Hatchback,6,632,6,Basic,City,2,5,1186.82
Sedan,16,1338,7,Basic,City,2,4,2629.04
Van,2,2992,8,Premium,Airport,2,9,3103.38
Hatchback,8,269,4,Basic,Airport,3,5,1025.69
Hatchback,17,1975,3,Basic,Airport,2,9,3081.73
Sedan,2,2498,5,VIP,City,1,9,2760.7
Van,10,2824,9,Premium,Suburban,3,2,3795.22
Luxury,16,1040,6,VIP,Airport,2,9,2259
Van,6,2996,9,VIP,Airport,1,3,3635.37
SUV,2,1862,6,VIP,Airport,1,4,2484.79
Mini Bus,2,907,2,Basic,City,2,1,1353.16
Luxury,13,853,5,Basic,City,1,1,1729.86
Hatchback,15,539,9,VIP,Suburban,2,1,2195.56
Luxury,2,1830,8,VIP,Airport,1,9,2173.98
Hatchback,7,1543,7,VIP,City,3,8,2431.63
Hatchback,3,2941,1,Basic,Suburban,3,5,2994.47
Luxury,8,1755,4,VIP,Airport,3,5,2806.24
Hatchback,14,2364,7,VIP,City,3,9,3517.44
Hatchback,7,103,7,Premium,Airport,3,3,1167.51
SUV,7,2625,6,Premium,Airport,2,3,3193.34
Van,1,665,8,Basic,City,3,7,915.38
Van,17,1132,6,Premium,City,3,9,2732.7
Mini Bus,9,1898,3,Premium,City,3,6,2869.21
Mini Bus,13,1004,4,Premium,Airport,3,2,2245.24
SUV,19,2483,3,Basic,Airport,1,1,3828.66
Mini Bus,19,1679,1,Premium,Suburban,3,2,3291.63
Luxury,17,2831,5,Basic,Airport,3,1,3972.87
Sedan,10,2813,1,VIP,City,2,9,3364.71
Sedan,10,699,1,Premium,Airport,1,8,1434.34
Sedan,4,2397,2,Basic,Suburban,2,7,2543.51
SUV,8,444,4,Premium,Suburban,3,3,1366.36
SUV,18,1409,6,VIP,City,2,8,2914.65
Hatchback,14,2690,8,Basic,City,2,2,3527.9
Sedan,18,2611,3,Basic,Suburban,3,2,3838.7
Luxury,14,2493,1,Basic,Suburban,1,3,3085.03
Mini Bus,15,420,3,VIP,Suburban,1,7,1493.28
Luxury,4,907,3,VIP,City,2,1,1621.49
Mini Bus,13,840,5,VIP,Suburban,3,8,2114.59
Sedan,8,707,4,Basic,Suburban,2,7,1200.27
Sedan,18,2833,4,VIP,City,2,4,4053.53
Sedan,12,1442,9,Premium,Airport,2,5,2585.07
SUV,14,433,7,VIP,Airport,3,1,2238.83
Mini Bus,2,2159,4,Basic,Suburban,3,4,2489.76
SUV,18,2602,3,Premium,Airport,1,1,4058.02
SUV,2,288,6,VIP,Airport,3,1,1353.3
Van,11,244,3,Premium,Airport,2,1,1321.11
Luxury,9,2775,6,Premium,Airport,2,7,3478.36
Luxury,12,2158,9,Basic,Suburban,1,7,2861.2
Hatchback,17,1202,6,Premium,Airport,3,4,2779.25
SUV,15,2782,4,Premium,Airport,2,2,3882.78
Mini Bus,17,2065,5,Basic,City,1,3,3033.86
Van,18,205,6,Basic,Suburban,1,8,1529.31
Van,6,972,3,Basic,City,2,8,1377.94
Luxury,17,2965,8,Premium,City,2,6,4058.88
SUV,18,1659,4,Premium,Suburban,3,9,2838.25
Hatchback,8,1024,8,Premium,Airport,1,9,1586.21
SUV,9,1280,3,Basic,City,2,4,1816.79
Sedan,6,2485,7,VIP,Suburban,1,1,3209.2
SUV,5,1864,9,Premium,Airport,3,1,2752.36
Sedan,12,2984,4,VIP,Suburban,2,5,3948.29
Sedan,11,887,8,Basic,City,3,2,1925.71
Hatchback,1,2057,3,Premium,Airport,1,6,2335.76
Mini Bus,11,1413,7,VIP,Airport,3,7,2310.42
Luxury,19,2437,3,Premium,Suburban,3,1,3950.04
SUV,9,253,7,Premium,Airport,1,6,1095.57
Sedan,2,210,6,Premium,City,3,8,602.58
SUV,12,441,2,VIP,City,1,5,1565.63
Mini Bus,4,818,3,Basic,City,2,7,1089.83
Luxury,4,2672,6,Premium,Suburban,1,6,3114.45
Mini Bus,18,2631,4,Basic,Airport,1,4,3742.07
Luxury,15,1143,6,Basic,Airport,2,7,2372.44
Van,19,2990,1,VIP,Airport,1,9,4013
Luxury,13,454,1,VIP,City,2,7,1746.19
Hatchback,19,657,3,Basic,Airport,2,5,1801.4
Mini Bus,17,1664,8,Premium,City,1,7,2839.32
Sedan,6,1590,8,VIP,Airport,3,3,2520.17
Van,16,2925,4,Premium,City,3,2,4234.79
Hatchback,12,1887,6,Premium,Airport,2,5,2922.69
SUV,19,739,8,Premium,Suburban,3,4,2297.03
Mini Bus,5,2999,7,Basic,Suburban,3,5,3468.08
Sedan,17,1290,7,Premium,City,1,8,2410.34
Luxury,1,2153,4,Basic,City,2,4,2169.68
Sedan,10,415,9,Basic,Airport,2,9,1192.09
SUV,15,1772,6,Premium,Airport,1,7,2602.58
Van,11,504,3,Premium,Suburban,3,7,1595.36
Van,13,153,5,Premium,Airport,2,8,1216.03
Mini Bus,5,126,5,Premium,City,3,6,864.35
Van,1,279,5,Basic,City,2,8,455.64
Mini Bus,12,1987,8,Premium,City,2,3,3260.92
Mini Bus,11,2428,9,Premium,City,2,1,3677.47
Mini Bus,17,1255,9,Basic,City,2,6,2636.59
Luxury,4,942,6,VIP,Suburban,3,1,1882.6
Hatchback,15,1623,6,VIP,Suburban,3,9,2751.83
Mini Bus,9,2785,9,Basic,City,3,2,3589.58
Mini Bus,19,2124,4,VIP,Airport,3,2,3809.33
Hatchback,19,1725,6,Basic,City,1,7,2925.01
Sedan,12,348,4,Premium,Suburban,2,2,1560.54
Mini Bus,5,1006,1,Premium,City,2,8,1287.22
Luxury,10,2896,7,VIP,Suburban,2,6,3717.15
Van,17,1164,6,Premium,Suburban,1,7,2277.46
Van,5,2577,9,VIP,City,3,7,3353.99
SUV,16,2670,7,VIP,City,2,6,4005.63
SUV,7,2555,7,Premium,Airport,3,9,3202.86
Van,9,1524,2,Premium,Suburban,3,9,2222.72
Van,3,414,9,VIP,Airport,1,7,815.5
Luxury,15,2956,9,Premium,City,1,9,3643.3
Hatchback,16,1748,6,Basic,Suburban,3,3,2951.38
SUV,18,400,3,Premium,Airport,2,3,1881.77
Hatchback,14,2350,1,Premium,Airport,2,1,3555.44
Luxury,3,2878,4,Basic,Airport,1,5,2934.54
Van,12,1954,3,Premium,City,1,4,2676.49
Mini Bus,9,2900,1,Premium,City,1,2,3564.46
Hatchback,7,1061,3,VIP,City,1,9,1662.83
Van,9,2556,4,Premium,Suburban,1,3,3167.15
Van,13,548,8,Premium,City,1,8,1379.45
Sedan,18,999,9,Basic,Suburban,1,6,2234.32
Hatchback,5,2044,3,VIP,Airport,2,5,2677.06
Mini Bus,13,2096,6,VIP,Airport,1,1,3191.86
Hatchback,4,557,5,VIP,City,1,4,1345.62
Van,2,1377,6,Premium,Airport,2,3,1942.88
Mini Bus,16,2598,4,VIP,City,2,1,3979.07
Luxury,9,2900,6,Basic,Suburban,3,5,3516.41
Sedan,9,2695,7,VIP,Airport,1,6,3574.02
Van,6,215,9,Basic,City,1,2,982.6
SUV,11,2559,7,VIP,Airport,1,3,3478.83
SUV,1,969,6,VIP,Airport,1,6,1378.38
Sedan,4,163,1,Basic,City,3,4,728.52
Luxury,13,1041,2,VIP,Airport,2,9,1818.02
Van,13,2001,1,VIP,Airport,2,5,2929.12
Hatchback,13,2304,9,VIP,Airport,1,4,3550.46
Sedan,2,1308,9,Premium,Airport,1,2,1977.27
Luxury,9,564,7,Basic,Suburban,1,6,1365.13
Hatchback,8,1281,2,VIP,Airport,3,2,2410.1
SUV,7,758,6,Basic,Airport,3,7,1412.77
SUV,4,2235,4,Basic,City,2,3,2433.03
Hatchback,18,388,1,Basic,Suburban,1,9,1345.61
Sedan,3,2634,1,VIP,City,1,5,2691.41
SUV,6,117,5,VIP,City,1,8,996.38
Van,12,1646,2,Basic,City,1,6,2173.35
Mini Bus,12,1614,4,Premium,Suburban,3,8,2468.6
Hatchback,8,432,1,Basic,City,2,3,1225.83
Hatchback,1,68,4,Premium,City,2,3,382.44
SUV,4,2780,6,Basic,City,3,5,2964.27
Sedan,11,2171,4,Basic,Airport,1,3,2871.06
Van,3,622,1,Basic,City,2,8,857.25
Sedan,13,1349,7,VIP,Suburban,2,8,2490.5
Luxury,17,2308,2,Premium,Suburban,3,2,3612.51
Luxury,10,2952,9,Premium,Airport,1,4,3874.01
Mini Bus,12,1993,3,Basic,Suburban,2,1,2940.06
SUV,15,700,8,VIP,Suburban,1,4,2180.14
SUV,10,1695,8,VIP,Airport,2,4,2888.58
SUV,14,1043,3,Premium,City,3,9,2042.63
Mini Bus,13,2792,4,VIP,Airport,1,3,4078.58
Luxury,5,2637,2,Premium,City,3,2,2916.4
Sedan,6,1388,4,Premium,City,2,9,2029.15
Mini Bus,2,950,9,Premium,Suburban,3,9,1533.25
Mini Bus,17,1734,2,VIP,Airport,3,1,3315.39
Sedan,4,2877,3,Premium,Suburban,3,6,3243.9
SUV,14,1635,4,Premium,Suburban,2,8,2572.83
Van,10,1973,5,Basic,City,1,3,2758.11
Sedan,3,1831,1,Premium,Suburban,3,9,2073.12
Luxury,3,1186,7,Premium,Airport,1,2,1645.05
Hatchback,15,2267,7,Basic,Suburban,2,6,3323.54
Hatchback,6,1994,9,Basic,Suburban,1,1,2764.77
Mini Bus,17,1087,4,VIP,City,3,7,2312.04
Hatchback,12,1788,6,Premium,Airport,3,3,3197.05
Van,11,337,2,VIP,Suburban,3,7,1333.89
SUV,4,2286,4,VIP,City,3,4,2832.16
Luxury,6,1640,2,Basic,Suburban,3,9,1811.61
Van,1,2791,5,VIP,Airport,3,5,3212
Luxury,16,1795,7,Premium,Suburban,2,3,2951.93
Luxury,15,2985,1,Basic,Suburban,2,8,3502.51
SUV,17,2568,7,Premium,City,2,6,3673.57
Mini Bus,8,1148,6,Premium,Suburban,1,2,1989.81
Hatchback,12,2374,6,Basic,City,1,3,3159.78
SUV,10,989,8,Premium,Airport,2,8,2019.04
Van,15,1498,8,Basic,Suburban,1,7,2579.38
Mini Bus,9,620,6,Premium,Airport,1,6,1540.95
Van,2,2954,3,Basic,Airport,3,1,3177.21
Mini Bus,5,1050,5,VIP,Suburban,3,9,1524.06
Van,6,1255,2,Premium,City,1,3,1590.9
SUV,7,2555,5,Basic,Airport,1,5,3021.63
Mini Bus,1,967,9,Premium,Airport,2,7,1471.55
Mini Bus,7,1924,1,Premium,Suburban,1,7,2237.6
Luxury,12,882,5,Premium,Suburban,3,3,1900.91
Luxury,16,2936,6,Basic,Suburban,1,4,3716.74
Sedan,16,2290,7,VIP,Suburban,2,7,3581.96
Van,11,1728,9,VIP,Suburban,3,8,2871.39
Luxury,4,665,6,VIP,Suburban,3,2,1733.6
Sedan,13,455,5,Basic,City,3,9,1335.46
Luxury,7,1799,7,VIP,Airport,3,7,2629.82
Van,4,2818,1,Basic,City,1,8,2886.24
Mini Bus,15,142,5,Premium,City,2,6,1147.79
Hatchback,19,2527,2,Premium,Suburban,1,6,3672.39
Van,9,703,4,VIP,Airport,1,9,1447.59
SUV,11,483,7,Basic,City,3,4,1605.23
Luxury,8,1185,5,Premium,Suburban,2,5,2018.01
Luxury,1,424,6,Basic,Suburban,3,9,583.04
Mini Bus,8,1116,2,Basic,Airport,1,1,1668.52
SUV,13,256,3,Premium,City,1,4,1049.16
Mini Bus,4,829,7,Basic,City,3,7,1396.1
SUV,8,1369,2,Premium,City,1,9,1855.87
Hatchback,3,1191,6,Premium,Suburban,1,6,1739.72
Luxury,9,581,5,Premium,Airport,3,8,1399.97
Luxury,2,2263,1,Basic,Airport,1,9,2206.42
Hatchback,2,2740,4,Premium,City,2,4,2877.61
Sedan,13,139,2,Basic,Suburban,3,1,985.53
Mini Bus,15,1167,4,Premium,City,2,8,2218.96
Hatchback,12,62,1,Premium,Airport,1,2,1042.8
Mini Bus,4,1907,2,VIP,Suburban,1,1,2375.2
Van,8,854,8,VIP,City,3,7,2001.37
Luxury,9,994,6,VIP,City,1,9,1944.59
Mini Bus,5,2839,2,Basic,Suburban,3,9,2992.75
SUV,18,1907,6,Basic,Airport,3,3,3209.4
Mini Bus,11,1660,9,Premium,Suburban,3,6,2716.53
Van,15,2973,7,Premium,City,3,7,3967.35
Luxury,9,2009,9,Premium,City,3,9,2865.61
Hatchback,17,2757,5,Premium,City,2,2,3831.58
Van,12,1102,7,Basic,City,3,8,1868.03
Luxury,7,345,7,Premium,Airport,2,7,1025.55
Mini Bus,10,975,3,Premium,Airport,1,4,1857.46
Sedan,10,689,7,VIP,City,3,2,1978.8
Sedan,13,2437,1,Premium,Airport,1,8,3261.55
SUV,19,677,9,Premium,Airport,3,5,2435.7
Luxury,11,2536,6,Premium,Airport,2,6,3246.27
Sedan,13,1217,5,Basic,City,2,7,2141.32
Hatchback,8,991,7,VIP,Suburban,2,1,2072.92
Luxury,8,879,5,Premium,Suburban,1,8,1552.88
Hatchback,4,1820,5,Premium,Suburban,3,4,2505.21
Hatchback,15,2616,7,VIP,City,1,9,3778.17
Sedan,11,1025,7,Premium,Airport,2,1,2206.74
Luxury,11,1004,3,Basic,Airport,1,2,1990.61
Mini Bus,1,1312,3,Premium,City,2,6,1618.76
Van,17,1001,3,Basic,City,2,1,2287.11
Sedan,15,993,6,Basic,Suburban,2,4,2077.4
Sedan,6,2252,6,Premium,Suburban,3,8,2721.04
Mini Bus,15,1254,3,VIP,City,3,5,2668.99
Luxury,9,2185,3,Basic,Suburban,2,9,2588.59
Luxury,14,1584,8,VIP,Airport,1,6,2816.9
Hatchback,18,1146,8,Premium,City,1,1,2714.09
Mini Bus,17,228,7,Basic,City,3,6,1610.99
Mini Bus,18,2309,4,Premium,Airport,2,6,3749.7
Luxury,5,1878,4,VIP,Airport,1,6,2346.84
Hatchback,9,1307,3,Premium,Airport,2,8,2023.18
Sedan,11,514,5,Premium,Suburban,1,6,1390.28
SUV,1,1824,3,Basic,City,3,5,1696.22
Van,18,2728,8,Premium,Suburban,2,2,4101.98
Sedan,6,2922,7,Premium,Airport,2,4,3372.42
Luxury,2,1280,3,Premium,Suburban,1,5,1543.98
Van,15,2704,9,Basic,Airport,1,4,3645.43
SUV,14,934,5,VIP,Suburban,1,2,2311.84
SUV,5,2463,9,VIP,Suburban,2,7,3043.08
Hatchback,6,2373,7,Premium,Airport,3,2,3092.09
Van,6,2477,7,Basic,Suburban,3,1,3203.38
Hatchback,18,1382,6,Premium,City,1,5,2581.71
Sedan,14,1704,2,VIP,Suburban,3,1,2857.99
Mini Bus,10,994,9,Basic,Suburban,1,1,1933.44
Mini Bus,14,2907,6,VIP,City,3,1,4389.8
Mini Bus,13,974,8,VIP,Airport,2,6,2339.3
Van,3,1988,1,Basic,City,1,9,1930.26
Mini Bus,6,543,5,Basic,Suburban,3,1,1478.78
Sedan,8,1596,1,Premium,Airport,2,5,2356.24
Hatchback,12,2019,8,Premium,Suburban,3,9,2922.39
Van,13,1144,8,VIP,Suburban,2,9,2334.3
Hatchback,11,2461,1,Basic,City,2,1,3209.76
Van,12,2667,9,Basic,City,3,8,3444.89
Hatchback,1,1875,2,Premium,Airport,3,1,2438.61
SUV,17,812,9,VIP,Airport,2,8,2287.54
Hatchback,16,2373,1,VIP,Airport,2,1,3635.67
Mini Bus,11,99,9,Premium,Suburban,2,5,948.12
SUV,13,2825,4,Basic,City,1,8,3276.7
Hatchback,18,955,9,Premium,City,2,6,2256.65
Van,11,613,7,Premium,City,1,9,1446.85
Van,12,832,6,Premium,Airport,2,1,1893.36
Van,6,2582,5,Premium,City,1,9,2946.84
Luxury,9,2090,9,Basic,City,2,1,3054.01
Sedan,16,1881,2,Premium,City,2,3,3054.16
Van,4,633,2,Basic,Airport,2,1,1016.62
SUV,3,1369,9,Premium,City,3,3,2106.47
Van,16,285,3,VIP,Airport,3,2,2138.72
Luxury,12,2153,8,Basic,City,2,2,3287.6
Mini Bus,11,1992,9,VIP,City,1,9,2724.07
SUV,5,409,8,Premium,City,1,8,794.92
Luxury,18,1980,4,Premium,Airport,2,1,3183.06
Mini Bus,19,159,1,Premium,Airport,3,4,1571.66
SUV,6,241,4,Basic,City,1,1,902.09
Hatchback,18,953,9,VIP,Suburban,3,1,2750.9
Sedan,6,1166,2,Basic,Airport,1,4,1448.76
Sedan,4,911,3,Basic,Airport,2,2,1499.59
Luxury,12,2665,8,Premium,City,3,3,3817.11
Mini Bus,19,1133,6,VIP,Suburban,1,9,2320.14
Sedan,2,699,8,Premium,City,2,2,1456.91
Mini Bus,17,88,7,Basic,Airport,2,4,1504.92
Mini Bus,11,686,5,Premium,Airport,2,1,1890.79
Luxury,11,1086,9,VIP,City,3,2,2413.94
Luxury,16,85,4,Premium,City,3,5,1479.02
Luxury,2,2198,6,VIP,Suburban,2,1,2586.47
Sedan,2,1411,2,VIP,Suburban,3,7,1988.94
Luxury,8,2033,2,Premium,Airport,1,4,2479.83
Sedan,13,215,2,Basic,Suburban,2,6,1019.02
Luxury,10,2480,7,Premium,Suburban,2,8,3080.9
Van,8,1929,2,Basic,Airport,3,6,2662.15
Mini Bus,4,2887,2,Basic,Airport,2,2,3048.06
Luxury,15,80,9,Premium,Airport,1,1,1655.07
SUV,1,60,7,Basic,Airport,3,8,396.12
Mini Bus,11,2061,3,Basic,City,3,8,2600.41
Mini Bus,7,2193,3,Premium,Airport,2,9,2492.45
Luxury,17,2550,7,Premium,Airport,2,6,3664.54
Hatchback,18,2289,5,Premium,Airport,2,1,3681.16
Luxury,12,535,6,Basic,Suburban,3,9,1498.71
Mini Bus,9,1339,8,VIP,Airport,2,3,2393.58
SUV,5,1497,9,Basic,City,1,6,1831.29
Mini Bus,10,2335,1,VIP,City,2,9,2915.76
SUV,4,1993,3,Premium,Airport,2,3,2320.41
Sedan,5,2013,7,VIP,City,3,5,2648.38
Van,10,1901,6,Premium,Suburban,2,5,2864.46
Mini Bus,11,1519,7,Premium,Airport,3,7,2433.64
Luxury,10,1416,8,VIP,City,2,4,2491.57
Sedan,8,2832,6,Premium,City,1,4,3338.81
Van,2,1040,3,VIP,Airport,1,7,1377.98
Luxury,8,874,2,Premium,City,3,9,1586.13
Hatchback,16,1512,7,Basic,Airport,3,4,2687.37
Luxury,5,2203,1,Basic,City,2,4,2499.39
SUV,3,2278,3,Premium,Suburban,2,6,2725.39
SUV,12,2281,4,Premium,City,1,6,2944.54
Hatchback,13,275,1,VIP,City,2,7,1364.76
Sedan,13,826,5,Basic,Airport,1,1,1920.33
Van,10,2887,3,VIP,City,3,3,4037.98
Luxury,4,1162,2,Premium,Airport,2,9,1331.72
SUV,9,737,3,Premium,Suburban,3,6,1404.2
Sedan,2,579,8,VIP,Airport,2,6,1241.03
Hatchback,19,1021,6,Premium,Airport,1,5,2401.43
Mini Bus,1,985,7,Basic,City,3,3,1490.52
SUV,7,1472,6,VIP,Suburban,3,5,2475.51
Hatchback,17,2203,6,Basic,Airport,2,1,3423.62
Luxury,3,1344,3,Basic,City,3,3,1875.51
Van,3,2048,8,Basic,City,1,4,2231.48
SUV,3,2928,7,VIP,Airport,3,5,3530.59
SUV,17,1576,7,Premium,City,3,9,2692.52
Luxury,7,728,6,Basic,Airport,2,4,1390.14
Mini Bus,14,2946,5,Basic,Airport,3,3,3726.06
Sedan,17,2490,8,Basic,Airport,2,1,3602.1
Van,18,89,5,Premium,Suburban,2,6,1740.23
SUV,13,2757,9,Premium,Airport,3,7,3562.36
Van,18,1155,9,VIP,City,1,8,2568.5
SUV,4,894,1,Premium,Suburban,2,1,1593.87
Van,1,1793,6,VIP,City,3,4,2640.26
Hatchback,18,2298,7,VIP,Suburban,2,5,3779.45
SUV,1,496,3,VIP,Suburban,1,2,1069.51
Van,13,1284,7,VIP,Suburban,1,1,2610.36
Sedan,10,2541,7,VIP,Suburban,2,8,3518.77
Hatchback,11,1400,2,Basic,City,1,6,2041.8
Hatchback,9,2858,7,Premium,Airport,3,5,3583.19
Sedan,9,276,1,Basic,City,3,9,1022.26
Van,5,97,5,VIP,Airport,2,2,996.84
Luxury,1,1512,9,Premium,City,1,8,1553.98
Sedan,17,1880,7,Basic,Suburban,3,9,2770.56
Van,2,236,7,Basic,Suburban,3,1,838.27
Sedan,13,2442,2,VIP,Airport,3,7,3485.16
Sedan,9,2321,8,Basic,Airport,2,8,2973.58
SUV,4,2927,3,Basic,City,2,3,3231.2
Van,5,2585,8,Basic,Airport,3,4,3086.08
Luxury,11,1982,3,Basic,City,3,3,2925.18
SUV,19,2974,7,Basic,Airport,1,7,3978.13
Sedan,3,898,2,VIP,Airport,1,9,1098.34
Mini Bus,12,2082,4,VIP,Airport,1,3,2937.79
Sedan,19,1302,6,Basic,Suburban,2,6,2715.24
Sedan,19,1463,9,VIP,Suburban,3,8,2822.27
Van,13,1028,5,VIP,City,2,6,2206.11
Van,7,1662,9,Premium,Airport,3,2,2968.62
SUV,15,1066,5,Basic,City,1,7,2024.51
Luxury,7,2285,8,VIP,Airport,1,2,3111.47
SUV,8,1931,1,VIP,Suburban,1,2,2500.76
Hatchback,5,319,7,Basic,Suburban,1,2,1116.18
Sedan,14,1680,4,Premium,Airport,3,1,3102.66
Mini Bus,4,359,5,Basic,Airport,1,1,965.28
Sedan,10,2093,6,Premium,Suburban,3,7,2928.63
Sedan,15,1624,5,Basic,Suburban,3,5,2770.24
SUV,18,1145,1,Basic,City,2,3,2322.67
Mini Bus,13,2942,9,Basic,Suburban,1,1,3731.01
Mini Bus,8,1745,2,Basic,Airport,1,6,2235.26
Mini Bus,9,2583,9,Premium,City,2,1,3508.62
SUV,16,1495,2,Premium,Airport,3,9,2643.13
Sedan,19,2217,9,VIP,City,1,2,3805.77
SUV,16,269,6,Basic,Airport,3,1,1762.52
Van,7,102,9,Premium,Suburban,2,7,950.06
Van,14,1807,6,Premium,Airport,3,6,2935.19
SUV,14,1524,6,Premium,City,1,6,2535.2
Mini Bus,4,1716,2,Basic,Airport,3,5,2404.7
Sedan,15,1310,8,VIP,City,3,4,2925.29
SUV,3,2855,3,Premium,Airport,1,4,3374.83
SUV,5,2835,7,Basic,Suburban,1,3,3150.53
SUV,1,769,5,Premium,Suburban,3,8,1100.01
Hatchback,3,455,3,Premium,Airport,3,7,830.6
Van,15,2705,1,VIP,Airport,2,9,3846.89
Mini Bus,8,2519,8,Premium,Airport,1,1,3183.48
Luxury,4,2809,3,Premium,City,3,7,3355.25
Mini Bus,2,2344,2,Basic,Airport,1,4,2247.66
Luxury,10,121,1,Basic,Airport,2,7,905.3
Hatchback,4,1903,4,VIP,City,3,1,2516.78
SUV,3,2282,8,Basic,Suburban,3,5,2595.77
Hatchback,2,2103,3,Basic,Airport,3,3,2375.35
Hatchback,17,1279,1,VIP,Airport,1,5,2479.4
Sedan,13,1617,4,Premium,Suburban,2,4,2634.98
Van,5,436,9,VIP,Suburban,1,2,1357.65
Luxury,9,1841,1,Basic,City,3,4,2568.73
SUV,6,748,2,VIP,Airport,2,3,1337.79
Luxury,5,1250,9,Premium,Airport,3,1,2087.45
Mini Bus,10,876,2,VIP,City,3,8,1998.96
Luxury,8,1872,3,Basic,Suburban,1,5,2362.3
Mini Bus,7,398,7,Basic,City,3,4,1355.75
Van,7,1328,3,VIP,Suburban,2,5,2216.25
Mini Bus,6,357,9,Premium,City,3,4,1176.28
Luxury,3,1200,6,VIP,Suburban,3,3,2074.31
Luxury,19,2010,3,Premium,City,1,5,3241.02
Mini Bus,15,2384,9,Premium,Suburban,2,4,3862.77
Hatchback,4,815,1,VIP,Suburban,1,1,1589.76
Van,12,774,3,Premium,Suburban,3,3,1989.4
Sedan,6,2859,1,Basic,Suburban,1,8,2988.43
SUV,19,1669,2,VIP,Suburban,1,7,3033.36
Luxury,4,432,8,Premium,Airport,1,2,1191.82
SUV,15,2485,7,Basic,Suburban,1,1,3474.54
Sedan,9,574,2,VIP,Airport,3,3,1755.86
SUV,5,2736,2,Basic,Suburban,3,5,3141.22
Sedan,13,325,9,Basic,Airport,2,1,1699.74
Mini Bus,18,2597,6,Basic,Airport,1,3,3804.99
Hatchback,5,2814,5,Premium,City,1,3,3413.57
Luxury,16,386,6,VIP,Suburban,2,5,2027.15
Sedan,19,2023,9,VIP,City,1,3,3686.12
SUV,14,530,7,Premium,City,2,9,1499.76
Luxury,16,960,9,VIP,Suburban,3,1,2566.81
Hatchback,15,2046,4,Basic,City,2,4,2981.62
Mini Bus,4,1401,2,VIP,Suburban,1,4,1946.51
Luxury,7,2083,8,Premium,City,2,1,3087.46
Sedan,16,1804,4,Basic,Suburban,3,2,2670.04
Hatchback,8,158,9,Premium,Suburban,1,1,1068.22
SUV,17,377,4,Basic,Suburban,3,6,1615.99
Hatchback,16,1849,8,Basic,Airport,3,3,2989.48
Hatchback,10,364,9,VIP,City,2,7,1421.83
Van,10,1184,9,Basic,Airport,3,5,2045.7
Hatchback,2,2796,4,Premium,City,1,9,2687.9
Hatchback,9,830,1,VIP,City,3,7,1664.31
Luxury,17,1570,3,Premium,City,3,4,3071.59
SUV,11,205,9,Basic,Airport,2,5,1278.22
Luxury,10,1546,4,Premium,City,3,5,2548.07
Luxury,17,1774,5,Premium,Airport,2,5,3022.51
Sedan,4,936,7,Basic,Suburban,2,9,1373.73
Luxury,16,2855,5,VIP,City,1,3,4181.24
Van,15,771,4,Premium,City,1,6,1935.72
Van,5,962,2,Basic,Suburban,1,8,1087.3
Sedan,6,920,2,VIP,Suburban,1,9,1399.96
Mini Bus,17,62,4,VIP,City,2,7,1667.78
SUV,1,2705,9,VIP,Suburban,3,3,3242.49
SUV,19,547,8,Premium,Airport,1,1,2022.68
Luxury,4,1806,3,Premium,Airport,1,4,2116.08
Luxury,17,2335,9,Premium,City,1,6,3703.63
Mini Bus,9,1167,5,VIP,Airport,3,3,2236.1
